,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
106026,PRRC2B,AGO2,Q5JSZ5,Q9UKV8,0.9129469990730281,0.7642971277236931,0.125312715768814,0.8902974128723141
106042,PRRC2B,ALG13,Q5JSZ5,Q9NP73,0.9129469990730281,0.7642971277236931,0.364426672458648,0.10586695373058301
106048,PRRC2B,ANKHD1,Q5JSZ5,Q8IWZ3,0.9129469990730281,0.7642971277236931,0.6686410307884211,0.484839290380477
106086,PRRC2B,ATXN2,Q5JSZ5,Q99700,0.9129469990730281,0.7642971277236931,0.9192976951599121,0.844794750213623
106095,PRRC2B,BCOR,Q5JSZ5,Q6W2J9,0.9129469990730281,0.7642971277236931,0.853329479694366,0.614456474781036
106126,PRRC2B,CCAR1,Q5JSZ5,Q8IX12,0.9129469990730281,0.7642971277236931,0.8194368481636041,0.926390826702117
106155,PRRC2B,CELF2,Q5JSZ5,O95319,0.9129469990730281,0.7642971277236931,0.6175681352615351,0.626740992069244
106159,PRRC2B,CEP192,Q5JSZ5,Q8TEP8,0.9129469990730281,0.7642971277236931,0.069603644311428,0.137897923588752
106186,PRRC2B,CNOT1,Q5JSZ5,A5YKK6,0.9129469990730281,0.7642971277236931,0.16742576658725702,0.152645871043205
106204,PRRC2B,CPEB4,Q5JSZ5,Q17RY0,0.9129469990730281,0.7642971277236931,0.7140009999275201,0.7536411285400391
106347,PRRC2B,EIF4ENIF1,Q5JSZ5,Q9NRA8,0.9129469990730281,0.7642971277236931,0.918528199195861,0.8912989497184751
106404,PRRC2B,FUBP3,Q5JSZ5,Q96I24,0.9129469990730281,0.7642971277236931,0.927373111248016,0.896067440509796
106467,PRRC2B,HELZ,Q5JSZ5,P42694,0.9129469990730281,0.7642971277236931,0.8446741104125971,0.836807429790496
106523,PRRC2B,IGF2BP2,Q5JSZ5,Q9Y6M1,0.9129469990730281,0.7642971277236931,0.7169618606567381,0.877931773662567
106606,PRRC2B,LSM12,Q5JSZ5,Q3MHD2,0.9129469990730281,0.7642971277236931,0.170231625437736,0.389593958854675
106644,PRRC2B,MIA3,Q5JSZ5,Q5JRA6,0.9129469990730281,0.7642971277236931,0.621209442615509,0.7640144228935241
106760,PRRC2B,OTUD4,Q5JSZ5,Q01804,0.9129469990730281,0.7642971277236931,0.7899363040924071,0.5325272679328911
106774,PRRC2B,PATL1,Q5JSZ5,Q86TB9,0.9129469990730281,0.7642971277236931,0.6750744581222531,0.5648705363273621
