,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
78229,LSM2,AQR,Q9Y333,O60306,0.179838389158248,0.49471378326416005,0.06666328012943201,0.139973536133766
78235,LSM2,ARHGAP17,Q9Y333,Q68EM7,0.179838389158248,0.49471378326416005,0.889636695384979,0.748611629009246
78262,LSM2,BCAS2,Q9Y333,O75934,0.179838389158248,0.49471378326416005,0.21867851912975303,0.323692679405212
78268,LSM2,BIRC6,Q9Y333,Q9NR09,0.179838389158248,0.49471378326416005,0.17446057498455,0.14830791950225802
78283,LSM2,BUD31,Q9Y333,P41223,0.179838389158248,0.49471378326416005,0.05853324010968201,0.22599320113658902
78330,LSM2,CD2BP2,Q9Y333,O95400,0.179838389158248,0.49471378326416005,0.9287493824958801,0.8623639345169061
78336,LSM2,CDC40,Q9Y333,O60508,0.179838389158248,0.49471378326416005,0.205471113324165,0.6695420145988461
78337,LSM2,CDC5L,Q9Y333,Q99459,0.179838389158248,0.49471378326416005,0.8283196687698361,0.8730228543281551
78366,LSM2,CLNS1A,Q9Y333,P54105,0.179838389158248,0.49471378326416005,0.8458648920059201,0.9448860287666321
78374,LSM2,COIL,Q9Y333,P38432,0.179838389158248,0.49471378326416005,0.942740082740783,0.876527309417724
78391,LSM2,CRNKL1,Q9Y333,Q9BZJ0,0.179838389158248,0.49471378326416005,0.059319127351045005,0.22416272759437503
78392,LSM2,CRYBG3,Q9Y333,Q68DQ2,0.179838389158248,0.49471378326416005,0.45059823989868103,0.6399484872817991
78401,LSM2,CTNNBL1,Q9Y333,Q8WYA6,0.179838389158248,0.49471378326416005,0.054278206080198,0.443033128976821
78419,LSM2,DCP1B,Q9Y333,Q8IZD4,0.179838389158248,0.49471378326416005,0.706972122192382,0.6831697821617121
78428,LSM2,DDX20,Q9Y333,Q9UHI6,0.179838389158248,0.49471378326416005,0.6811448335647581,0.7236361503601071
78430,LSM2,DDX23,Q9Y333,Q9BUQ8,0.179838389158248,0.49471378326416005,0.7879667878150941,0.8658872842788691
78503,LSM2,EDC3,Q9Y333,Q96F86,0.179838389158248,0.49471378326416005,0.6413281559944151,0.819340884685516
78504,LSM2,EDC4,Q9Y333,Q6P2E9,0.179838389158248,0.49471378326416005,0.72339904308319,0.47514921426773005
78512,LSM2,EFTUD2,Q9Y333,Q15029,0.179838389158248,0.49471378326416005,0.24692590534687,0.535955607891082
78533,LSM2,EIF4ENIF1,Q9Y333,Q9NRA8,0.179838389158248,0.49471378326416005,0.918528199195861,0.8912989497184751
78603,LSM2,GEMIN2,Q9Y333,O14893,0.179838389158248,0.49471378326416005,0.083363130688667,0.265399724245071
78604,LSM2,GEMIN4,Q9Y333,P57678,0.179838389158248,0.49471378326416005,0.07834466546773901,0.058770585805177
78606,LSM2,GEMIN6,Q9Y333,Q8WXD5,0.179838389158248,0.49471378326416005,0.068999387323856,0.193133637309074
78608,LSM2,GEMIN8,Q9Y333,Q9NWZ8,0.179838389158248,0.49471378326416005,0.547690510749816,0.883135974407196
78701,LSM2,HSPH1,Q9Y333,Q92598,0.179838389158248,0.49471378326416005,0.670248389244079,0.879881858825683
78709,LSM2,IK,Q9Y333,Q13123,0.179838389158248,0.49471378326416005,0.8522761464118951,0.825300395488739
78745,LSM2,KNL1,Q9Y333,Q8NG31,0.179838389158248,0.49471378326416005,0.676888108253479,0.7882953286170961
78773,LSM2,LSM1,Q9Y333,O15116,0.179838389158248,0.49471378326416005,0.060449838638305005,0.30547326803207403
78775,LSM2,LSM11,Q9Y333,P83369,0.179838389158248,0.49471378326416005,0.8032368421554561,0.7890603542327881
78778,LSM2,LSM3,Q9Y333,P62310,0.179838389158248,0.49471378326416005,0.046093560755252005,0.323222458362579
78779,LSM2,LSM4,Q9Y333,Q9Y4Z0,0.179838389158248,0.49471378326416005,0.09307809919118801,0.261316120624542
78781,LSM2,LSM6,Q9Y333,P62312,0.179838389158248,0.49471378326416005,0.08005154877901001,0.037402782589197006
78782,LSM2,LSM7,Q9Y333,Q9UK45,0.179838389158248,0.49471378326416005,0.27925175428390503,0.5728738903999321
78783,LSM2,LSM8,Q9Y333,O95777,0.179838389158248,0.49471378326416005,0.23241150379180903,0.12186257541179601
78873,LSM2,NFRKB,Q9Y333,Q6P4R8,0.179838389158248,0.49471378326416005,0.41714200377464206,0.297662645578384
78942,LSM2,PATL1,Q9Y333,Q86TB9,0.179838389158248,0.49471378326416005,0.6750744581222531,0.5648705363273621
78956,LSM2,PDCD7,Q9Y333,Q8N8D1,0.179838389158248,0.49471378326416005,0.377020567655563,0.326120138168334
78998,LSM2,PLRG1,Q9Y333,O43660,0.179838389158248,0.49471378326416005,0.06341804563999101,0.590099155902862
79011,LSM2,PPIH,Q9Y333,O43447,0.179838389158248,0.49471378326416005,0.140362784266471,0.076240792870521
79012,LSM2,PPIL1,Q9Y333,Q9Y3C6,0.179838389158248,0.49471378326416005,0.077709801495075,0.42443299293518005
79024,LSM2,PPP1R8,Q9Y333,Q12972,0.179838389158248,0.49471378326416005,0.240030139684677,0.46111288666725103
79035,LSM2,PQBP1,Q9Y333,O60828,0.179838389158248,0.49471378326416005,0.8100058436393731,0.698363900184631
79036,LSM2,PRCC,Q9Y333,Q92733,0.179838389158248,0.49471378326416005,0.7951726913452141,0.7191357016563411
79043,LSM2,PRMT5,Q9Y333,O14744,0.179838389158248,0.49471378326416005,0.096745878458023,0.10946254432201301
79045,LSM2,PRPF3,Q9Y333,O43395,0.179838389158248,0.49471378326416005,0.45261716842651306,0.803629279136657
79046,LSM2,PRPF31,Q9Y333,Q8WWY3,0.179838389158248,0.49471378326416005,0.773608565330505,0.7287459969520561
79048,LSM2,PRPF4,Q9Y333,O43172,0.179838389158248,0.49471378326416005,0.052915804088115005,0.3874232172966
79050,LSM2,PRPF6,Q9Y333,O94906,0.179838389158248,0.49471378326416005,0.599728226661682,0.9125509262084961
79051,LSM2,PRPF8,Q9Y333,Q6P2Q9,0.179838389158248,0.49471378326416005,0.055361520498991006,0.598593413829803
79117,LSM2,RBM22,Q9Y333,Q9NW64,0.179838389158248,0.49471378326416005,0.8540207147598261,0.7634013295173641
79124,LSM2,RBM5,Q9Y333,P52756,0.179838389158248,0.49471378326416005,0.9291881322860711,0.9209715723991391
79139,LSM2,RIOK1,Q9Y333,Q9BRS2,0.179838389158248,0.49471378326416005,0.550198137760162,0.8417922854423521
79235,LSM2,SART3,Q9Y333,Q15020,0.179838389158248,0.49471378326416005,0.070294067263603,0.633105337619781
79306,LSM2,SMN1,Q9Y333,Q16637,0.179838389158248,0.49471378326416005,0.806497931480407,0.8147256970405571
79309,LSM2,SNRNP200,Q9Y333,O75643,0.179838389158248,0.49471378326416005,0.10391391813755001,0.727765202522277
79311,LSM2,SNRNP40,Q9Y333,Q96DI7,0.179838389158248,0.49471378326416005,0.049249589443206,0.184485375881195
79313,LSM2,SNRNP70,Q9Y333,P08621,0.179838389158248,0.49471378326416005,0.8215233683586121,0.8727887272834771
