,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,SMG6,Q86US8,P48634,29395067,PRRC2A,0.9220386743545532,0.8902567625045771,0.920958399772644,0.771147608757019,0.4977999329566955
1,SMG6,Q86US8,Q96KQ4,29395067,PPP1R13B,0.9220386743545532,0.8902567625045771,0.150505438446998,0.136277213692665,0.4819758534431457
2,SMG6,Q86US8,Q53GS7,29395067,GLE1,0.9220386743545532,0.8902567625045771,0.050243891775608,0.251061677932739,0.46535724401474
3,SMG6,Q86US8,P78344,29395067,EIF4G2,0.9220386743545532,0.8902567625045771,0.935107350349426,0.838588714599609,0.4753258824348449
4,SMG6,Q86US8,Q9NRA8,29395067,EIF4ENIF1,0.9220386743545532,0.8902567625045771,0.918528199195861,0.8912989497184751,0.47833913564682
5,SMG6,Q86US8,Q9HBD1,29395067,RC3H2,0.9220386743545532,0.8902567625045771,0.380768567323684,0.385693252086639,0.5002366900444031
6,SMG6,Q86US8,Q99550,29395067,MPHOSPH9,0.9220386743545532,0.8902567625045771,0.054511122405529,0.404256880283355,0.4988673627376556
7,SMG6,Q86US8,Q5VT06,29395067,CEP350,0.9220386743545532,0.8902567625045771,0.858241915702819,0.8765743970870971,0.5462861657142639
8,SMG6,Q86US8,Q9ULH1,29395067,ASAP1,0.9220386743545532,0.8902567625045771,0.7876180410385131,0.625235438346862,0.4172565340995788
9,SMG6,Q86US8,O60884,29395067,DNAJA2,0.9220386743545532,0.8902567625045771,0.18818025290966,0.698748648166656,0.4066018462181091
10,SMG6,Q86US8,Q96Q15,29395067,SMG1,0.9220386743545532,0.8902567625045771,0.163601413369178,0.310367941856384,0.2552033364772796
11,SMG6,Q86US8,Q9UHD2,29395067,TBK1,0.9220386743545532,0.8902567625045771,0.257528513669967,0.688123047351837,0.4056178629398346
12,SMG6,Q86US8,Q92900,29395067,UPF1,0.9220386743545532,0.8902567625045771,0.747238278388977,0.7646963596343991,0.5074445605278015
13,SMG6,Q86US8,Q8TEW0,29395067,PARD3,0.9220386743545532,0.8902567625045771,0.943813920021057,0.957928478717804,0.4700976908206939
14,SMG6,Q86US8,P19784,29395067,CSNK2A2,0.9220386743545532,0.8902567625045771,0.298951238393783,0.607534527778625,0.5357921719551086
15,SMG6,Q86US8,Q9UL18,29395067,AGO1,0.9220386743545532,0.8902567625045771,0.061913449317216,0.142578333616256,0.3822518587112427
16,SMG6,Q86US8,Q9Y5A9,29395067,YTHDF2,0.9220386743545532,0.8902567625045771,0.942174553871154,0.9018615484237672,0.4965752959251404
17,SMG6,Q86US8,Q8IWZ3,29395067,ANKHD1,0.9220386743545532,0.8902567625045771,0.6686410307884211,0.484839290380477,0.5525330901145935
18,SMG6,Q86US8,Q9H7E2,29395067,TDRD3,0.9220386743545532,0.8902567625045771,0.8975397944450371,0.883250415325164,0.4772232472896576
19,SMG6,Q86US8,Q9HA47,29395067,UCK1,0.9220386743545532,0.8902567625045771,0.402107089757919,0.7728859782218931,0.3193309605121612
20,SMG6,Q86US8,Q9P2D0,29395067,IBTK,0.9220386743545532,0.8902567625045771,0.135052159428596,0.5361476540565491,0.4665505886077881
21,SMG6,Q86US8,Q92540,29395067,SMG7,0.9220386743545532,0.8902567625045771,0.7485496997833251,0.6801263689994811,0.5302808880805969
22,SMG6,Q86US8,Q5JSZ5,29395067,PRRC2B,0.9220386743545532,0.8902567625045771,0.912946999073028,0.7642971277236931,0.4710476398468017
23,SMG6,Q86US8,Q9P003,29395067,CNIH4,0.9220386743545532,0.8902567625045771,0.086120456457138,0.034847345203161,0.2417194843292236
24,SMG6,Q86US8,O75175,29395067,CNOT3,0.9220386743545532,0.8902567625045771,0.8002820014953611,0.7462113499641411,0.4947153627872467
25,SMG6,Q86US8,Q8IZC4,29395067,RTKN2,0.9220386743545532,0.8902567625045771,0.072360150516033,0.203661173582077,0.2463595569133758
26,SMG6,Q86US8,O95782,29395067,AP2A1,0.9220386743545532,0.8902567625045771,0.101775608956813,0.098419055342674,0.5091001987457275
27,SMG6,Q86US8,Q99700,29395067,ATXN2,0.9220386743545532,0.8902567625045771,0.919297695159912,0.844794750213623,0.5070773363113403
28,SMG6,Q86US8,Q1MSJ5,29395067,CSPP1,0.9220386743545532,0.8902567625045771,0.314629882574081,0.6072953343391411,0.4012112617492676
29,SMG6,Q86US8,Q9H7U1,29395067,CCSER2,0.9220386743545532,0.8902567625045771,0.7321401834487911,0.5225425958633421,0.4847773909568786
30,SMG6,Q86US8,Q8TEP8,29395067,CEP192,0.9220386743545532,0.8902567625045771,0.069603644311428,0.137897923588752,0.4879956841468811
31,SMG6,Q86US8,A5YKK6,29395067,CNOT1,0.9220386743545532,0.8902567625045771,0.167425766587257,0.152645871043205,0.4758274555206299
