Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
CNOT6L,Q96LI5,Q86WP2,29395067,GPBP1,0.052588243037462006,0.054170239716768,0.9238476753234861,0.8661590814590451,0.2898174226284027
CNOT6L,Q96LI5,Q8NDV7,29395067,TNRC6A,0.052588243037462006,0.054170239716768,0.94635409116745,0.9126369357109071,0.5493464469909668
CNOT6L,Q96LI5,Q15435,29395067,PPP1R7,0.052588243037462006,0.054170239716768,0.29704037308692904,0.679658889770507,0.5258635878562927
CNOT6L,Q96LI5,Q86UW6,29395067,N4BP2,0.052588243037462006,0.054170239716768,0.20905244350433302,0.684999763965606,0.547266960144043
CNOT6L,Q96LI5,O75179,29395067,ANKRD17,0.052588243037462006,0.054170239716768,0.8482596278190611,0.7491549253463741,0.7337223291397095
CNOT6L,Q96LI5,Q9NRA8,29395067,EIF4ENIF1,0.052588243037462006,0.054170239716768,0.918528199195861,0.8912989497184751,0.40874361991882324
CNOT6L,Q96LI5,O95628,29395067,CNOT4,0.052588243037462006,0.054170239716768,0.81230479478836,0.8261866569519041,0.25697949528694153
CNOT6L,Q96LI5,Q9HBD1,29395067,RC3H2,0.052588243037462006,0.054170239716768,0.380768567323684,0.385693252086639,0.5475738644599915
CNOT6L,Q96LI5,A7MCY6,29395067,TBKBP1,0.052588243037462006,0.054170239716768,0.826540350914001,0.911098837852478,0.34919148683547974
CNOT6L,Q96LI5,Q0P6H9,29395067,TMEM62,0.052588243037462006,0.054170239716768,0.07925160229206,0.027824705466628002,0.2126147747039795
CNOT6L,Q96LI5,Q9C0B0,29395067,UNK,0.052588243037462006,0.054170239716768,0.272130399942398,0.432189553976058,0.5383790731430054
CNOT6L,Q96LI5,Q9BYJ9,29395067,YTHDF1,0.052588243037462006,0.054170239716768,0.8564839363098141,0.6895709037780761,0.4074019491672516
CNOT6L,Q96LI5,Q92628,29395067,KIAA0232,0.052588243037462006,0.054170239716768,0.067868523299694,0.27435952425003,0.4981623589992523
CNOT6L,Q96LI5,Q9HC44,29395067,GPBP1L1,0.052588243037462006,0.054170239716768,0.8472579121589661,0.7460471391677851,0.4840843677520752
CNOT6L,Q96LI5,Q92900,29395067,UPF1,0.052588243037462006,0.054170239716768,0.747238278388977,0.7646963596343991,0.5270331501960754
CNOT6L,Q96LI5,Q9UL18,29395067,AGO1,0.052588243037462006,0.054170239716768,0.061913449317216006,0.14257833361625602,0.30028003454208374
CNOT6L,Q96LI5,Q9Y5A9,29395067,YTHDF2,0.052588243037462006,0.054170239716768,0.9421745538711541,0.9018615484237671,0.5558609962463379
CNOT6L,Q96LI5,Q8IWZ3,29395067,ANKHD1,0.052588243037462006,0.054170239716768,0.6686410307884211,0.484839290380477,0.49543386697769165
CNOT6L,Q96LI5,Q8TCU4,29395067,ALMS1,0.052588243037462006,0.054170239716768,0.261659920215606,0.5576434135437011,0.7170082330703735
CNOT6L,Q96LI5,Q9H7E2,29395067,TDRD3,0.052588243037462006,0.054170239716768,0.8975397944450371,0.883250415325164,0.49856704473495483
CNOT6L,Q96LI5,Q9UPQ9,29395067,TNRC6B,0.052588243037462006,0.054170239716768,0.9158128499984741,0.9256454706192011,0.6017612814903259
CNOT6L,Q96LI5,Q5JSZ5,29395067,PRRC2B,0.052588243037462006,0.054170239716768,0.9129469990730281,0.7642971277236931,0.555640459060669
CNOT6L,Q96LI5,Q8IWR0,29395067,ZC3H7A,0.052588243037462006,0.054170239716768,0.065534330904483,0.528411209583282,0.40297502279281616
CNOT6L,Q96LI5,Q86YT6,29395067,MIB1,0.052588243037462006,0.054170239716768,0.052893497049808,0.325507253408432,0.6331184506416321
CNOT6L,Q96LI5,Q86TB9,29395067,PATL1,0.052588243037462006,0.054170239716768,0.6750744581222531,0.5648705363273621,0.674770176410675
