,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
4393,CAPRIN1,AHCYL1,Q14444,O43865,0.9350892305374141,0.92366886138916,0.211141914129257,0.20808848738670302
4398,CAPRIN1,AKAP11,Q14444,Q9UKA4,0.9350892305374141,0.92366886138916,0.587787747383117,0.8515966534614561
4409,CAPRIN1,ANKHD1,Q14444,Q8IWZ3,0.9350892305374141,0.92366886138916,0.6686410307884211,0.484839290380477
4410,CAPRIN1,ANKRD17,Q14444,O75179,0.9350892305374141,0.92366886138916,0.8482596278190611,0.7491549253463741
4412,CAPRIN1,ANKRD52,Q14444,Q8NB46,0.9350892305374141,0.92366886138916,0.10190691053867301,0.22405306994915003
4442,CAPRIN1,ATXN2,Q14444,Q99700,0.9350892305374141,0.92366886138916,0.9192976951599121,0.844794750213623
4449,CAPRIN1,BCR,Q14444,P11274,0.9350892305374141,0.92366886138916,0.779595255851745,0.786240220069885
4483,CAPRIN1,CCSER2,Q14444,Q9H7U1,0.9350892305374141,0.92366886138916,0.7321401834487911,0.5225425958633421
4522,CAPRIN1,CLUH,Q14444,O75153,0.9350892305374141,0.92366886138916,0.056396357715129006,0.185147255659103
4525,CAPRIN1,CNOT1,Q14444,A5YKK6,0.9350892305374141,0.92366886138916,0.16742576658725702,0.152645871043205
4526,CAPRIN1,CNOT10,Q14444,Q9H9A5,0.9350892305374141,0.92366886138916,0.048076625913381,0.130353718996047
4529,CAPRIN1,CNOT3,Q14444,O75175,0.9350892305374141,0.92366886138916,0.8002820014953611,0.7462113499641411
4532,CAPRIN1,CNOT9,Q14444,Q92600,0.9350892305374141,0.92366886138916,0.08026347309350901,0.085335381329059
4543,CAPRIN1,CPEB4,Q14444,Q17RY0,0.9350892305374141,0.92366886138916,0.7140009999275201,0.7536411285400391
4572,CAPRIN1,DDX20,Q14444,Q9UHI6,0.9350892305374141,0.92366886138916,0.6811448335647581,0.7236361503601071
4588,CAPRIN1,DHX29,Q14444,Q7Z478,0.9350892305374141,0.92366886138916,0.048336878418922,0.688056528568267
4592,CAPRIN1,DHX57,Q14444,Q6P158,0.9350892305374141,0.92366886138916,0.30006697773933405,0.46088534593582103
4604,CAPRIN1,DOCK4,Q14444,Q8N1I0,0.9350892305374141,0.92366886138916,0.09998704493045801,0.604189753532409
4615,CAPRIN1,DVL1,Q14444,O14640,0.9350892305374141,0.92366886138916,0.836085975170135,0.736067175865173
4621,CAPRIN1,ECD,Q14444,O95905,0.9350892305374141,0.92366886138916,0.13158987462520602,0.593300521373748
4634,CAPRIN1,EIF2A,Q14444,Q9BY44,0.9350892305374141,0.92366886138916,0.630240321159362,0.894449532032012
4655,CAPRIN1,EIF4ENIF1,Q14444,Q9NRA8,0.9350892305374141,0.92366886138916,0.918528199195861,0.8912989497184751
4687,CAPRIN1,FAM120A,Q14444,Q9NZB2,0.9350892305374141,0.92366886138916,0.8501178622245781,0.8586925268173211
4688,CAPRIN1,FAM193A,Q14444,P78312,0.9350892305374141,0.92366886138916,0.262545526027679,0.46085977554321206
4691,CAPRIN1,FAM98A,Q14444,Q8NCA5,0.9350892305374141,0.92366886138916,0.896835446357727,0.863439083099365
4703,CAPRIN1,FMR1,Q14444,Q06787,0.9350892305374141,0.92366886138916,0.5003023147583,0.9142025709152221
4706,CAPRIN1,FUBP3,Q14444,Q96I24,0.9350892305374141,0.92366886138916,0.927373111248016,0.896067440509796
4708,CAPRIN1,FXR1,Q14444,P51114,0.9350892305374141,0.92366886138916,0.8444389104843141,0.922883689403533
4709,CAPRIN1,FXR2,Q14444,P51116,0.9350892305374141,0.92366886138916,0.909103691577911,0.93657237291336
4710,CAPRIN1,G3BP1,Q14444,Q13283,0.9350892305374141,0.92366886138916,0.9298263788223261,0.5750792622566221
4711,CAPRIN1,G3BP2,Q14444,Q9UN86,0.9350892305374141,0.92366886138916,0.827478051185607,0.9036784172058101
4722,CAPRIN1,GKAP1,Q14444,Q5VSY0,0.9350892305374141,0.92366886138916,0.9053015708923341,0.7235311269760131
4731,CAPRIN1,GRSF1,Q14444,Q12849,0.9350892305374141,0.92366886138916,0.371622174978256,0.32188338041305503
4799,CAPRIN1,IBTK,Q14444,Q9P2D0,0.9350892305374141,0.92366886138916,0.135052159428596,0.5361476540565491
4842,CAPRIN1,KTN1,Q14444,Q86UP2,0.9350892305374141,0.92366886138916,0.25432863831520003,0.7076205611228941
4844,CAPRIN1,LARP1B,Q14444,Q659C4,0.9350892305374141,0.92366886138916,0.902065575122833,0.8965162038803101
4845,CAPRIN1,LARP4,Q14444,Q71RC2,0.9350892305374141,0.92366886138916,0.8875218629837031,0.9059172868728631
4846,CAPRIN1,LARP4B,Q14444,Q92615,0.9350892305374141,0.92366886138916,0.7897013425827021,0.913986682891845
4860,CAPRIN1,LSM12,Q14444,Q3MHD2,0.9350892305374141,0.92366886138916,0.170231625437736,0.389593958854675
4861,CAPRIN1,LSM14A,Q14444,Q8ND56,0.9350892305374141,0.92366886138916,0.931010067462921,0.93739902973175
4862,CAPRIN1,LSM14B,Q14444,Q9BX40,0.9350892305374141,0.92366886138916,0.9151313900947571,0.9035645723342891
4889,CAPRIN1,MCRIP2,Q14444,Q9BUT9,0.9350892305374141,0.92366886138916,0.573536276817321,0.40689116716384804
4900,CAPRIN1,MOV10,Q14444,Q9HCE1,0.9350892305374141,0.92366886138916,0.096921250224113,0.313997954130172
4913,CAPRIN1,MTDH,Q14444,Q86UE4,0.9350892305374141,0.92366886138916,0.8910396695137021,0.9162181615829461
4942,CAPRIN1,NEK4,Q14444,P51957,0.9350892305374141,0.92366886138916,0.526775062084198,0.884031951427459
4944,CAPRIN1,NFX1,Q14444,Q12986,0.9350892305374141,0.92366886138916,0.677983343601226,0.778652310371398
4963,CAPRIN1,NUFIP2,Q14444,Q7Z417,0.9350892305374141,0.92366886138916,0.9265759587287901,0.961228013038635
4975,CAPRIN1,OTUD4,Q14444,Q01804,0.9350892305374141,0.92366886138916,0.7899363040924071,0.5325272679328911
4978,CAPRIN1,PABPC4,Q14444,Q13310,0.9350892305374141,0.92366886138916,0.902287125587463,0.9297712445259091
4985,CAPRIN1,PATL1,Q14444,Q86TB9,0.9350892305374141,0.92366886138916,0.6750744581222531,0.5648705363273621
5054,CAPRIN1,PRRC2A,Q14444,P48634,0.9350892305374141,0.92366886138916,0.920958399772644,0.771147608757019
