Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
SPTAN1,TAOK2,Q13813,Q9UL54,0.055180501192808006,0.6088515520095821,0.8188093304634091,0.8384706377983091
SPTBN1,TAOK2,Q01082,Q9UL54,0.055180501192808006,0.6088515520095821,0.7893882393836971,0.913645565509796
EPB41L3,TAOK2,Q9Y2J2,Q9UL54,0.055180501192808006,0.6088515520095821,0.8376559019088741,0.8468633890151971
MYL12A,TAOK2,P19105,Q9UL54,0.055180501192808006,0.6088515520095821,0.6698166728019711,0.790415048599243
EPB41,TAOK2,P11171,Q9UL54,0.055180501192808006,0.6088515520095821,0.799695134162902,0.9051154851913451
AHNAK,TAOK2,Q09666,Q9UL54,0.055180501192808006,0.6088515520095821,0.882196128368377,0.946096897125244
ADD3,TAOK2,Q9UEY8,Q9UL54,0.055180501192808006,0.6088515520095821,0.72104388475418,0.766959011554718
CXADR,TAOK2,P78310,Q9UL54,0.055180501192808006,0.6088515520095821,0.661145806312561,0.569099605083465
ADGRL2,TAOK2,O95490,Q9UL54,0.055180501192808006,0.6088515520095821,0.17980706691741902,0.318239539861679
TCOF1,TAOK2,Q13428,Q9UL54,0.055180501192808006,0.6088515520095821,0.9414838552474971,0.8864967226982111
ZC3H18,TAOK2,Q86VM9,Q9UL54,0.055180501192808006,0.6088515520095821,0.911917030811309,0.8909481167793271
KIDINS220,TAOK2,Q9ULH0,Q9UL54,0.055180501192808006,0.6088515520095821,0.7799193859100341,0.724555552005767
SLC39A6,TAOK2,Q13433,Q9UL54,0.055180501192808006,0.6088515520095821,0.048338934779167,0.35296788811683605
SEPTIN7,TAOK2,Q16181,Q9UL54,0.055180501192808006,0.6088515520095821,0.751222431659698,0.8839928507804871
MAP4,TAOK2,P27816,Q9UL54,0.055180501192808006,0.6088515520095821,0.7518705725669861,0.8798587918281551
EPB41L5,TAOK2,Q9HCM4,Q9UL54,0.055180501192808006,0.6088515520095821,0.20411467552185,0.8569900393486021
NLGN4Y,TAOK2,Q8NFZ3,Q9UL54,0.055180501192808006,0.6088515520095821,0.063753888010978,0.079306371510028
CFDP1,TAOK2,Q9UEE9,Q9UL54,0.055180501192808006,0.6088515520095821,0.7029587626457211,0.635134756565094
MKI67,TAOK2,P46013,Q9UL54,0.055180501192808006,0.6088515520095821,0.916103363037109,0.937224566936492
PLRG1,TAOK2,O43660,Q9UL54,0.055180501192808006,0.6088515520095821,0.06341804563999101,0.590099155902862
FLNA,TAOK2,P21333,Q9UL54,0.055180501192808006,0.6088515520095821,0.748573184013366,0.8762679100036621
SHANK3,TAOK2,Q9BYB0,Q9UL54,0.055180501192808006,0.6088515520095821,0.8970565795898431,0.5883738994598381
RBBP6,TAOK2,Q7Z6E9,Q9UL54,0.055180501192808006,0.6088515520095821,0.9128370285034181,0.9011510014533991
ESYT1,TAOK2,Q9BSJ8,Q9UL54,0.055180501192808006,0.6088515520095821,0.6062819361686701,0.431197941303253
ABI1,TAOK2,Q8IZP0,Q9UL54,0.055180501192808006,0.6088515520095821,0.8879209756851191,0.941683113574981
SLC3A2,TAOK2,P08195,Q9UL54,0.055180501192808006,0.6088515520095821,0.5474551916122431,0.283306777477264
DSG2,TAOK2,Q14126,Q9UL54,0.055180501192808006,0.6088515520095821,0.6336154937744141,0.6835451722145081
MFAP1,TAOK2,P55081,Q9UL54,0.055180501192808006,0.6088515520095821,0.800705790519714,0.822628378868103
SET,TAOK2,Q01105,Q9UL54,0.055180501192808006,0.6088515520095821,0.6859944462776181,0.6324194073677061
BORA,TAOK2,Q6PGQ7,Q9UL54,0.055180501192808006,0.6088515520095821,0.683352053165435,0.531712591648101
MYL6,TAOK2,P60660,Q9UL54,0.055180501192808006,0.6088515520095821,0.632035076618194,0.7239663600921631
KIF23,TAOK2,Q02241,Q9UL54,0.055180501192808006,0.6088515520095821,0.8901101946830751,0.9135856628417961
PCNP,TAOK2,Q8WW12,Q9UL54,0.055180501192808006,0.6088515520095821,0.9139901995658871,0.9438921213150021
SNW1,TAOK2,Q13573,Q9UL54,0.055180501192808006,0.6088515520095821,0.904046356678009,0.8782021403312681
MBD3,TAOK2,O95983,Q9UL54,0.055180501192808006,0.6088515520095821,0.6947304606437681,0.800449967384338
UBTF,TAOK2,P17480,Q9UL54,0.055180501192808006,0.6088515520095821,0.8725005984306331,0.8459479212760921
WDHD1,TAOK2,O75717,Q9UL54,0.055180501192808006,0.6088515520095821,0.7832458615303041,0.8864896893501281
RPA1,TAOK2,P27694,Q9UL54,0.055180501192808006,0.6088515520095821,0.5950183272361751,0.9000694155693051
SEPTIN2,TAOK2,Q15019,Q9UL54,0.055180501192808006,0.6088515520095821,0.41475161910057,0.9366346597671501
CHAMP1,TAOK2,Q96JM3,Q9UL54,0.055180501192808006,0.6088515520095821,0.6495507955551141,0.804450511932373
STIM1,TAOK2,Q13586,Q9UL54,0.055180501192808006,0.6088515520095821,0.837684452533721,0.6984013915061951
AHCTF1,TAOK2,Q8WYP5,Q9UL54,0.055180501192808006,0.6088515520095821,0.7510356307029721,0.6826372742652891
LRRC59,TAOK2,Q96AG4,Q9UL54,0.055180501192808006,0.6088515520095821,0.145397394895553,0.554470419883728
TBC1D10B,TAOK2,Q4KMP7,Q9UL54,0.055180501192808006,0.6088515520095821,0.773120999336242,0.686142563819885
HCFC1,TAOK2,P51610,Q9UL54,0.055180501192808006,0.6088515520095821,0.674918055534362,0.406061232089996
PHACTR4,TAOK2,Q8IZ21,Q9UL54,0.055180501192808006,0.6088515520095821,0.8080450296401971,0.9259374737739561
RRBP1,TAOK2,Q9P2E9,Q9UL54,0.055180501192808006,0.6088515520095821,0.809208989143371,0.8690434694290161
EEF1D,TAOK2,P29692,Q9UL54,0.055180501192808006,0.6088515520095821,0.824298679828643,0.9590794444084161
SCRIB,TAOK2,Q14160,Q9UL54,0.055180501192808006,0.6088515520095821,0.7628489136695861,0.835612595081329
SF3B2,TAOK2,Q13435,Q9UL54,0.055180501192808006,0.6088515520095821,0.894457817077636,0.8759469985961911
FAM114A2,TAOK2,Q9NRY5,Q9UL54,0.055180501192808006,0.6088515520095821,0.059934400022029,0.2548149228096
SLC30A1,TAOK2,Q9Y6M5,Q9UL54,0.055180501192808006,0.6088515520095821,0.19158212840557,0.104948841035366
EEF1B2,TAOK2,P24534,Q9UL54,0.055180501192808006,0.6088515520095821,0.7238967418670651,0.9477213621139521
SAP18,TAOK2,O00422,Q9UL54,0.055180501192808006,0.6088515520095821,0.5844154953956601,0.844128787517547
NOL8,TAOK2,Q76FK4,Q9UL54,0.055180501192808006,0.6088515520095821,0.9286092519760131,0.8510907292366021
SAFB2,TAOK2,Q14151,Q9UL54,0.055180501192808006,0.6088515520095821,0.9217971563339231,0.800364792346954
MYH9,TAOK2,P35579,Q9UL54,0.055180501192808006,0.6088515520095821,0.749034285545349,0.8638456463813781
TPX2,TAOK2,Q9ULW0,Q9UL54,0.055180501192808006,0.6088515520095821,0.8590779304504391,0.9247490763664241
SLK,TAOK2,Q9H2G2,Q9UL54,0.055180501192808006,0.6088515520095821,0.906973540782928,0.8626015782356261
MAP1B,TAOK2,P46821,Q9UL54,0.055180501192808006,0.6088515520095821,0.880201041698455,0.9375912547111511
RBM25,TAOK2,P49756,Q9UL54,0.055180501192808006,0.6088515520095821,0.7370941638946531,0.9183903932571411
PPP1R10,TAOK2,Q96QC0,Q9UL54,0.055180501192808006,0.6088515520095821,0.927128970623016,0.936766624450683
RER1,TAOK2,O15258,Q9UL54,0.055180501192808006,0.6088515520095821,0.289070546627044,0.38619473576545704
NOLC1,TAOK2,Q14978,Q9UL54,0.055180501192808006,0.6088515520095821,0.8484116792678831,0.9560447931289671
IRS4,TAOK2,O14654,Q9UL54,0.055180501192808006,0.6088515520095821,0.936857998371124,0.8807663917541501
PAICS,TAOK2,P22234,Q9UL54,0.055180501192808006,0.6088515520095821,0.5264544486999511,0.6098111867904661
SRRM1,TAOK2,Q8IYB3,Q9UL54,0.055180501192808006,0.6088515520095821,0.893278896808624,0.9253711700439451
MPRIP,TAOK2,Q6WCQ1,Q9UL54,0.055180501192808006,0.6088515520095821,0.8395533561706541,0.9102351069450371
