Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
NOTCH3,NOTCH3,Q9UM47,Q9UM47,0.13141730427742002,0.146293520927429,0.13141730427742002,0.146293520927429
ATR,NOTCH3,Q13535,Q9UM47,0.13141730427742002,0.146293520927429,0.048508264124393005,0.043837640434503
CCZ1,NOTCH3,P86791,Q9UM47,0.13141730427742002,0.146293520927429,0.099910303950309,0.137131974101066
ECHDC1,NOTCH3,Q9NTX5,Q9UM47,0.13141730427742002,0.146293520927429,0.06751719117164601,0.261623203754425
GRWD1,NOTCH3,Q9BQ67,Q9UM47,0.13141730427742002,0.146293520927429,0.15920852124691,0.23257616162300102
IGF2R,NOTCH3,P11717,Q9UM47,0.13141730427742002,0.146293520927429,0.10924714803695601,0.175767928361892
MARK3,NOTCH3,P27448,Q9UM47,0.13141730427742002,0.146293520927429,0.7967392206192011,0.928407669067382
MED10,NOTCH3,Q9BTT4,Q9UM47,0.13141730427742002,0.146293520927429,0.058188069611787005,0.26963871717453003
MED20,NOTCH3,Q9H944,Q9UM47,0.13141730427742002,0.146293520927429,0.11918811500072402,0.041179627180099
MED21,NOTCH3,Q13503,Q9UM47,0.13141730427742002,0.146293520927429,0.059241421520709006,0.093962796032428
PIP5K1A,NOTCH3,Q99755,Q9UM47,0.13141730427742002,0.146293520927429,0.5096415877342221,0.6716597676277161
PPIL3,NOTCH3,Q9H2H8,Q9UM47,0.13141730427742002,0.146293520927429,0.11561213433742501,0.7025239467620851
SGPL1,NOTCH3,O95470,Q9UM47,0.13141730427742002,0.146293520927429,0.066514417529106,0.23698306083679202
TFB2M,NOTCH3,Q9H5Q4,Q9UM47,0.13141730427742002,0.146293520927429,0.06345376372337301,0.11979093402624101
YWHAH,NOTCH3,Q04917,Q9UM47,0.13141730427742002,0.146293520927429,0.47259107232093805,0.810484707355499
BABAM1,NOTCH3,Q9NWV8,Q9UM47,0.13141730427742002,0.146293520927429,0.49545317888259804,0.5051776766777031
CCDC124,NOTCH3,Q96CT7,Q9UM47,0.13141730427742002,0.146293520927429,0.31709873676300004,0.6553013920783991
CSE1L,NOTCH3,P55060,Q9UM47,0.13141730427742002,0.146293520927429,0.08991975337266901,0.053037740290164004
EXOC1,NOTCH3,Q9NV70,Q9UM47,0.13141730427742002,0.146293520927429,0.163332879543304,0.436757653951644
HEATR5B,NOTCH3,Q9P2D3,Q9UM47,0.13141730427742002,0.146293520927429,0.060749493539333004,0.042279295623302
